,surface_area,independence_year,population,life_expectancy,gnp
135,1958201.0,1810.0,98881000,71.5,414972.0
136,181.0,1990.0,64000,65.5,97.0
137,25713.0,1991.0,2024000,73.8,1694.0
138,1240192.0,1960.0,11234000,46.7,2642.0
139,316.0,1964.0,380200,77.9,3512.0
140,676578.0,1948.0,45611000,54.9,180375.0
141,1566500.0,1921.0,2662000,67.3,1043.0
142,464.0,,78000,75.5,0.0
143,801590.0,1975.0,19680000,37.5,2891.0
144,1025520.0,1960.0,2670000,50.8,998.0
145,102.0,,11000,78.0,109.0
146,1102.0,,395000,78.3,2731.0
147,2040.0,1968.0,1158000,71.0,4251.0
148,118484.0,1964.0,10925000,37.6,1687.0
149,329758.0,1957.0,22244000,70.8,69213.0
150,373.0,,149000,59.5,0.0
151,824292.0,1990.0,1726000,42.5,3101.0
152,18575.0,,214000,72.8,3563.0
153,1267000.0,1960.0,10730000,41.3,1706.0
154,36.0,,2000,,0.0
155,923768.0,1960.0,111506000,51.6,65707.0
156,130000.0,1838.0,5074000,68.7,1988.0
157,260.0,,2000,,0.0
158,41526.0,1581.0,15864000,78.3,371362.0
159,323877.0,1905.0,4478500,78.7,145895.0
160,147181.0,1769.0,23930000,57.8,4768.0
161,21.0,1968.0,12000,60.8,197.0
162,270534.0,1907.0,3862000,77.8,54669.0
163,309500.0,1951.0,2542000,71.8,16904.0
164,796095.0,1947.0,156483000,61.1,61289.0
165,75517.0,1903.0,2856000,75.5,9131.0
166,49.0,,50,,0.0
167,1285216.0,1821.0,25662000,70.0,64140.0
168,300000.0,1946.0,75967000,67.5,65107.0
169,459.0,1994.0,19000,68.6,105.0
170,462840.0,1975.0,4807000,63.1,4988.0
171,323250.0,1918.0,38653600,73.2,151697.0
172,8875.0,,3869000,75.6,34100.0
173,120538.0,1948.0,24039000,70.7,5332.0
174,91982.0,1143.0,9997600,75.8,105954.0
175,406752.0,1811.0,5496000,73.7,8444.0
176,6257.0,,3101000,71.4,4173.0
177,4000.0,,235000,74.8,818.0
178,11000.0,1971.0,599000,72.4,9472.0
179,2510.0,,699000,72.7,8287.0
180,238391.0,1878.0,22455500,69.9,38158.0
181,17075400.0,1991.0,146934000,67.2,276608.0
182,26338.0,1962.0,7733000,39.3,2036.0
183,2149690.0,1932.0,21607000,67.8,137635.0
184,2505813.0,1956.0,29490000,56.6,10162.0
185,196722.0,1960.0,9481000,62.2,4787.0
186,618.0,1965.0,3567000,80.1,86503.0
187,3903.0,,0,,0.0
188,314.0,,6000,76.8,0.0
189,62422.0,,3200,,0.0
190,28896.0,1978.0,444000,71.3,182.0
191,71740.0,1961.0,4854000,45.3,746.0
192,21041.0,1841.0,6276000,69.7,11863.0
193,61.0,885.0,27000,81.1,510.0
194,637657.0,1960.0,10097000,46.2,935.0
195,242.0,,7000,77.6,0.0
196,964.0,1975.0,147000,65.3,6.0
197,163265.0,1975.0,417000,71.4,870.0
198,49012.0,1993.0,5398700,73.7,20594.0
199,20256.0,1991.0,1987800,74.9,19756.0
200,449964.0,836.0,8861400,79.6,226492.0
201,17364.0,1968.0,1008000,40.4,1206.0
202,455.0,1976.0,77000,70.4,536.0
203,185180.0,1941.0,16125000,68.5,65984.0
204,430.0,,17000,73.3,96.0
205,1284000.0,1960.0,7651000,50.5,1208.0
206,56785.0,1960.0,4629000,54.7,1449.0
207,513115.0,1350.0,61399000,68.6,116416.0
208,143100.0,1991.0,6188000,64.1,1990.0
209,12.0,,2000,,0.0
210,488100.0,1991.0,4459000,60.9,4397.0
211,14874.0,,885000,46.0,0.0
212,650.0,1970.0,99000,67.9,146.0
213,5130.0,1962.0,1295000,68.0,6232.0
214,163610.0,1956.0,9586000,73.7,20026.0
215,774815.0,1923.0,66591000,71.0,210721.0
216,26.0,1978.0,12000,66.3,6.0
217,36188.0,1945.0,22256000,76.4,256254.0
218,883749.0,1961.0,33517000,52.3,8005.0
219,241038.0,1962.0,21778000,42.9,6313.0
220,603700.0,1991.0,50456000,66.0,42168.0
221,16.0,,0,,0.0
222,175016.0,1828.0,3337000,75.2,20831.0
223,9363520.0,1776.0,278357000,77.1,8510700.0
224,447400.0,1991.0,24318000,63.7,14194.0
225,0.4,1929.0,1000,,9.0
226,388.0,1979.0,114000,72.3,285.0
227,912050.0,1811.0,24170000,73.1,95023.0
228,151.0,,21000,75.4,612.0
229,347.0,,93000,78.1,0.0
230,331689.0,1945.0,79832000,69.3,21929.0
231,12189.0,1980.0,190000,60.6,261.0
232,200.0,,15000,,0.0
233,2831.0,1962.0,180000,69.2,141.0
234,527968.0,1918.0,18112000,59.8,6041.0
235,102173.0,1918.0,10640000,72.4,17000.0
236,1221037.0,1910.0,40377000,51.1,116729.0
237,752618.0,1964.0,9169000,37.2,3377.0
238,390757.0,1980.0,11669000,37.8,5951.0
